"","ID","Location","Attendance","Hours","Minutes","Game Date","Highlights","HOME TEAM","HOME SCORE","HOME TEAM LOSS","HOME TEAM WIn","HOME TEAM Series loss","HOME TEAM Series win","AWAY TEAM","AWAY SCORE","AWAY TEAM LOSS","AWAY TEAM WIn","AWAY TEAM Series loss","AWAY TEAM Series win"
"927",21800964,"ORACLE Arena","19596","2","15","03-05","Hayward: 30 points, 7 rebounds off bench","GSW","95","20","44","0","1","BOS","128","26","39","1","0"
"928",21800965,"Spectrum Center","18137","2","11","03-06","Whiteside: 18 points, 15 rebounds","CHA","84","35","29","0","2","MIA","91","34","30","2","0"
"929",21800966,"Little Caesars Arena","15240","2","16","03-06","Drummond: 31 points, 15 rebounds","DET","131","31","32","0","1","MIN","114","35","30","1","0"
"930",21800967,"Capital One Arena","16867","2","13","03-06","Beal: 30 points, 7 rebounds, 8 assists","WAS","132","37","27","1","0","DAL","123","37","27","0","1"
"931",21800968,"State Farm Arena","15208","2","11","03-06","White: 18 points, 9 assists, 6 blocks","ATL","104","44","22","0","0","SAS","111","29","37","0","0"
"932",21800969,"Barclays Center","14177","2","18","03-06","Dinwiddle: 28 points, 5 assists","BKN","113","33","34","1","2","CLE","107","49","16","2","1"
"933",21800970,"United Center","19927","2","20","03-06","LaVine: 39 points, game-winning layup","CHI","108","47","19","1","0","PHI","107","24","41","0","1"
"934",21800971,"Smoothie King Center","14681","2","12","03-06","Gobert: 22 points, 13 rebounds","NOP","104","37","30","1","1","UTA","114","27","37","1","1"
"935",21800972,"Talking Stick Resort Arena","14427","2","12","03-06","Booker: Season-high 41 points","PHX","107","51","15","0","1","NYK","96","52","13","1","0"
"936",21800973,"Golden 1 Center","17583","2","14","03-06","Horford: 21 points, 11 rebounds, 7 assists","SAC","109","32","32","0","0","BOS","111","26","40","0","0"
"937",21800974,"Staples Center","18997","2","16","03-06","LeBron passes Jordan on career scoring list","LAL","99","35","30","1","1","DEN","115","21","43","1","1"
"938",21800975,"Fiserv Forum","17884","2","16","03-07","Antetokounmpo: 29 points, 12 rebounds","MIL","117","16","49","1","2","IND","98","24","42","2","1"
"939",21800976,"Moda Center","20037","2","54","03-07","Lillard: 51 points; Westbrook: 37 points","POR","121","26","39","3","0","OKC","129","25","40","0","3"
"940",21800977,"Spectrum Center","18144","2","13","03-08","Williams: Season-high 30 points","CHA","112","35","30","1","1","WAS","111","38","27","1","1"
